propertyType,buildingName,longitude,latitude,address,priceunits.price,bedroomsunits.beds,city
,Ivy Ridge Apartments,-122.30493,,"4730 21st Ave NE, Seattle, WA",0.0,0.0, Seattle
,Ivy Ridge Apartments,-122.30493,,"4730 21st Ave NE, Seattle, WA",0.0,0.0, Seattle
,Epicenter,-122.35072,,"620 N 34th St, Seattle, WA",0.0,0.0, Seattle
,Epicenter,-122.35072,,"620 N 34th St, Seattle, WA",0.0,0.0, Seattle
,Epicenter,-122.35072,,"620 N 34th St, Seattle, WA",0.0,0.0, Seattle
,Portofino,-122.34435,,"3815 Woodland Park Ave N, Seattle, WA",0.0,0.0, Seattle
,Portofino,-122.34435,,"3815 Woodland Park Ave N, Seattle, WA",0.0,0.0, Seattle
,Stratus,-122.33757,,"820 Lenora St, Seattle, WA",0.0,0.0, Seattle
,Stratus,-122.33757,,"820 Lenora St, Seattle, WA",0.0,0.0, Seattle
,One Lakefront,-122.34119,,"1287 Westlake Ave N, Seattle, WA",0.0,0.0, Seattle
,One Lakefront,-122.34119,,"1287 Westlake Ave N, Seattle, WA",0.0,0.0, Seattle
,,-122.34581,,"1003 N 50th St APT 7, Seattle, WA 98103",0.0,0.0, Seattle
,Stack House,-122.33094,,"1280 Harrison St, Seattle, WA",0.0,0.0, Seattle
,Stack House,-122.33094,,"1280 Harrison St, Seattle, WA",0.0,0.0, Seattle
,Stack House,-122.33094,,"1280 Harrison St, Seattle, WA",0.0,0.0, Seattle
,JUXT,-122.34167,,"810 Dexter Ave N, Seattle, WA",0.0,0.0, Seattle
,JUXT,-122.34167,,"810 Dexter Ave N, Seattle, WA",0.0,0.0, Seattle
,Cirrus,-122.33735,,"2030 8th Ave, Seattle, WA",0.0,0.0, Seattle
,Cirrus,-122.33735,,"2030 8th Ave, Seattle, WA",0.0,0.0, Seattle
,Cirrus,-122.33735,,"2030 8th Ave, Seattle, WA",0.0,0.0, Seattle
,Cirrus,-122.33735,,"2030 8th Ave, Seattle, WA",0.0,0.0, Seattle
,Isherwood Apartments,-122.34841,,"3614 Linden Ave N, Seattle, WA",0.0,0.0, Seattle
,Astro Apartments,-122.35578,,"315 1st Ave N, Seattle, WA",0.0,0.0, Seattle
,Astro Apartments,-122.35578,,"315 1st Ave N, Seattle, WA",0.0,0.0, Seattle
,Astro Apartments,-122.35578,,"315 1st Ave N, Seattle, WA",0.0,0.0, Seattle
,Clark,-122.34327,,"408 Aurora Ave N, Seattle, WA",0.0,0.0, Seattle
,True North,-122.34254,,"801 Dexter Ave N, Seattle, WA",0.0,0.0, Seattle
,True North,-122.34254,,"801 Dexter Ave N, Seattle, WA",0.0,0.0, Seattle
,The Century,-122.34671,,"101 Taylor Ave N, Seattle, WA",0.0,0.0, Seattle
,The Century,-122.34671,,"101 Taylor Ave N, Seattle, WA",0.0,0.0, Seattle
,The Century,-122.34671,,"101 Taylor Ave N, Seattle, WA",0.0,0.0, Seattle
,Circa Green Lake Apartments,-122.325905,,"6900 E Green Lake Way N, Seattle, WA",0.0,0.0, Seattle
,Circa Green Lake Apartments,-122.325905,,"6900 E Green Lake Way N, Seattle, WA",0.0,0.0, Seattle
,Circa Green Lake Apartments,-122.325905,,"6900 E Green Lake Way N, Seattle, WA",0.0,0.0, Seattle
,The Eden Apartments,-122.34482,,"602 Galer St, Seattle, WA",0.0,0.0, Seattle
,Boylston Place,-122.32292,,"1816 Boylston Ave, Seattle, WA",0.0,0.0, Seattle
,Boylston Place,-122.32292,,"1816 Boylston Ave, Seattle, WA",0.0,0.0, Seattle
,Melody Jabooda,-122.305016,,"2101 S Grand St, Seattle, WA",0.0,0.0, Seattle
,Melody Jabooda,-122.305016,,"2101 S Grand St, Seattle, WA",0.0,0.0, Seattle
,Skyline House,-122.36518,,"600 W Olympic Pl, Seattle, WA",0.0,0.0, Seattle
,Skyline House,-122.36518,,"600 W Olympic Pl, Seattle, WA",0.0,0.0, Seattle
,Skyline House,-122.36518,,"600 W Olympic Pl, Seattle, WA",0.0,0.0, Seattle
,Husky Court/Husky Place,-122.305786,,"4629 21st Ave NE, Seattle, WA",0.0,0.0, Seattle
,Belay Apartments,-122.37712,,"6559 15th Ave NW, Seattle, WA",0.0,0.0, Seattle
,Belay Apartments,-122.37712,,"6559 15th Ave NW, Seattle, WA",0.0,0.0, Seattle
,Muir,-122.31169,,"1601 S Lane St, Seattle, WA",0.0,0.0, Seattle
,Muir,-122.31169,,"1601 S Lane St, Seattle, WA",0.0,0.0, Seattle
,Broadstone Sky,-122.38327,,"4745 40th Ave SW, Seattle, WA",0.0,0.0, Seattle
,Broadstone Sky,-122.38327,,"4745 40th Ave SW, Seattle, WA",0.0,0.0, Seattle
,,-122.34313,,"Bode 88, 8558 Nesbit Ave N #104, Seattle, WA 98103",0.0,0.0, 8558 Nesbit Ave N #104
,Icon Apartments,-122.328835,,"400 S Jackson St, Seattle, WA",0.0,0.0, Seattle
,Clara Apartments,-122.30687,,"4730 19th Ave NE, Seattle, WA",0.0,0.0, Seattle
,,-122.29046,,"12746 35th Ave NE, Seattle, WA",0.0,0.0, Seattle
,,-122.29046,,"12746 35th Ave NE, Seattle, WA",0.0,0.0, Seattle
,1613 Summitt,-122.32591,,"1613 Summit Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.27959,,"The Oda Building, 1624 41st Ave E APT 8, Seattle, WA 98112",0.0,0.0, 1624 41st Ave E APT 8
,,-122.34818,,"Linden Apartments!, 4110 Linden Ave N APT 1, Seattle, WA 98103",0.0,0.0, 4110 Linden Ave N APT 1
,Lightbox,-122.31989,,"4545 8th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Lightbox,-122.31989,,"4545 8th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Lightbox,-122.31989,,"4545 8th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Bell View Apartments,-122.32767,,"736 Bellevue Pl E, Seattle, WA",0.0,0.0, Seattle
,Bell View Apartments,-122.32767,,"736 Bellevue Pl E, Seattle, WA",0.0,0.0, Seattle
,Bell View Apartments,-122.32767,,"736 Bellevue Pl E, Seattle, WA",0.0,0.0, Seattle
,Phinney Flats,-122.35507,,"6726 Greenwood Ave N, Seattle, WA",0.0,0.0, Seattle
,,-122.3178,,"Lucille, 6717 Roosevelt Way NE #505, Seattle, WA 98115",0.0,0.0, 6717 Roosevelt Way NE #505
,10 Clay Apartments,-122.3538,,"10 Clay St, Seattle, WA",0.0,0.0, Seattle
,9050 Greenwood Ave N,-122.354935,,"9050 Greenwood Ave N, Seattle, WA",0.0,0.0, Seattle
,9050 Greenwood Ave N,-122.354935,,"9050 Greenwood Ave N, Seattle, WA",0.0,0.0, Seattle
,NORS,-122.31222,,"5253 15th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Zella,-122.35971,,"429 2nd Ave W, Seattle, WA",0.0,0.0, Seattle
,Zella,-122.35971,,"429 2nd Ave W, Seattle, WA",0.0,0.0, Seattle
,Session Apartments,-122.30401,,"1717 22nd Ave, Seattle, WA",0.0,0.0, Seattle
,The Corydon,-122.30123,,"5101 25th Ave NE, Seattle, WA",0.0,0.0, Seattle
,The Corydon,-122.30123,,"5101 25th Ave NE, Seattle, WA",0.0,0.0, Seattle
,The Corydon,-122.30123,,"5101 25th Ave NE, Seattle, WA",0.0,0.0, Seattle
,,-122.37095,,"1009 W Howe St, Seattle, WA 98119",0.0,0.0, Seattle
,Walton Lofts,-122.350555,,"75 Vine St, Seattle, WA",0.0,0.0, Seattle
,Walton Lofts,-122.350555,,"75 Vine St, Seattle, WA",0.0,0.0, Seattle
,Griffis Belltown,-122.34984,,"2400 Elliott Ave, Seattle, WA",0.0,0.0, Seattle
,Griffis Belltown,-122.34984,,"2400 Elliott Ave, Seattle, WA",0.0,0.0, Seattle
,Griffis Belltown,-122.34984,,"2400 Elliott Ave, Seattle, WA",0.0,0.0, Seattle
,Overlook at Magnolia,-122.39078,,"3520 27th Pl W, Seattle, WA",0.0,0.0, Seattle
,Cooper,-122.346855,,"13530 Linden Ave N, Seattle, WA",0.0,0.0, Seattle
,Cooper,-122.346855,,"13530 Linden Ave N, Seattle, WA",0.0,0.0, Seattle
,LaVie at Queen Anne,-122.35712,,"229 Queen Anne Ave N, Seattle, WA",0.0,0.0, Seattle
,LaVie at Queen Anne,-122.35712,,"229 Queen Anne Ave N, Seattle, WA",0.0,0.0, Seattle
,LaVie at Queen Anne,-122.35712,,"229 Queen Anne Ave N, Seattle, WA",0.0,0.0, Seattle
,600 Ninth Avenue,-122.32463,,"600 9th Ave, Seattle, WA",0.0,0.0, Seattle
,600 Ninth Avenue,-122.32463,,"600 9th Ave, Seattle, WA",0.0,0.0, Seattle
,Buena Vista,-122.32374,,"1633 Boylston Ave, Seattle, WA",0.0,0.0, Seattle
,Rivet Apartments,-122.33275,,"1201 Mercer St, Seattle, WA",0.0,0.0, Seattle
,Rivet Apartments,-122.33275,,"1201 Mercer St, Seattle, WA",0.0,0.0, Seattle
,AVA Queen Anne,-122.360275,,"330 3rd Ave W, Seattle, WA",0.0,0.0, Seattle
,AVA Queen Anne,-122.360275,,"330 3rd Ave W, Seattle, WA",0.0,0.0, Seattle
,AVA Queen Anne,-122.360275,,"330 3rd Ave W, Seattle, WA",0.0,0.0, Seattle
,Mason and Main,-122.317184,,"209 12th Ave S, Seattle, WA",0.0,0.0, Seattle
,Mason and Main,-122.317184,,"209 12th Ave S, Seattle, WA",0.0,0.0, Seattle
,Mad Flats,-122.31168,,"1523 E Madison St, Seattle, WA",0.0,0.0, Seattle
,Infinity Apartments,-122.31904,,"1414 10th Ave, Seattle, WA",0.0,0.0, Seattle
,Infinity Apartments,-122.31904,,"1414 10th Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.32225,,"Thornton Creek, 512 NE 103rd St, Seattle, WA 98125",0.0,0.0, 512 NE 103rd St
,Contour,-122.37716,,"3036 16th Ave W, Seattle, WA",0.0,0.0, Seattle
,,-122.28323,,"Willow Crossing, 6901 Martin Luther King Jr Way S, Seattle, WA 98118",0.0,0.0, 6901 Martin Luther King Jr Way S
,4730 California,-122.38641,,"4730 California Ave SW, Seattle, WA",0.0,0.0, Seattle
,4730 California,-122.38641,,"4730 California Ave SW, Seattle, WA",0.0,0.0, Seattle
,,-122.32051,,"Campus View I & II, 4322 7th Ave NE #301, Seattle, WA 98105",0.0,0.0, 4322 7th Ave NE #301
,Hillcourt Apartments,-122.295456,,"3022 NE 140th St, Seattle, WA",0.0,0.0, Seattle
,,-122.32716,,"Muse, 1515 Bellevue Ave APT 205, Seattle, WA 98122",0.0,0.0, 1515 Bellevue Ave APT 205
,The Cove,-122.324104,,"601 E Pike St, Seattle, WA",0.0,0.0, Seattle
,M Street,-122.32779,,"910 8th Ave, Seattle, WA",0.0,0.0, Seattle
,M Street,-122.32779,,"910 8th Ave, Seattle, WA",0.0,0.0, Seattle
,M Street,-122.32779,,"910 8th Ave, Seattle, WA",0.0,0.0, Seattle
,1404 Boylston,-122.32301,,"1404 Boylston Ave, Seattle, WA",0.0,0.0, Seattle
,Beryl Apartments,-122.31651,,"1200 E Pike St, Seattle, WA",0.0,0.0, Seattle
,,-122.34551,,"916 N 73rd St #A, Seattle, WA 98103",0.0,0.0, Seattle
,Elara at the Market,-122.34543,,"2134 Western Ave, Seattle, WA",0.0,0.0, Seattle
,Elara at the Market,-122.34543,,"2134 Western Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.3735,,"Westside Flats South, 3233 SW Avalon Way APT 305, Seattle, WA 98126",0.0,0.0, 3233 SW Avalon Way APT 305
,ArtHouse,-122.34894,,"2334 Elliott Ave, Seattle, WA",0.0,0.0, Seattle
,ArtHouse,-122.34894,,"2334 Elliott Ave, Seattle, WA",0.0,0.0, Seattle
,ArtHouse,-122.34894,,"2334 Elliott Ave, Seattle, WA",0.0,0.0, Seattle
,Henry,-122.35643,,"24 Etruria St, Seattle, WA",0.0,0.0, Seattle
,Verve,-122.34846,,"2720 4th Ave, Seattle, WA",0.0,0.0, Seattle
,Verve,-122.34846,,"2720 4th Ave, Seattle, WA",0.0,0.0, Seattle
,Verve,-122.34846,,"2720 4th Ave, Seattle, WA",0.0,0.0, Seattle
,206 Bell,-122.34557,,"206 Bell St, Seattle, WA",0.0,0.0, Seattle
,206 Bell,-122.34557,,"206 Bell St, Seattle, WA",0.0,0.0, Seattle
,206 Bell,-122.34557,,"206 Bell St, Seattle, WA",0.0,0.0, Seattle
,Ivy at Interbay,-122.37726,,"3008 16th Ave W, Seattle, WA",0.0,0.0, Seattle
,Ivy at Interbay,-122.37726,,"3008 16th Ave W, Seattle, WA",0.0,0.0, Seattle
,Verse Seattle,-122.3031,,"402 22nd Ave S, Seattle, WA",0.0,0.0, Seattle
,Verse Seattle,-122.3031,,"402 22nd Ave S, Seattle, WA",0.0,0.0, Seattle
,Verse Seattle,-122.3031,,"402 22nd Ave S, Seattle, WA",0.0,0.0, Seattle
,Robin's Nest,-122.32073,,"3272 Fuhrman Ave E, Seattle, WA",0.0,0.0, Seattle
,Portage Bay Flats,-122.32116,,"4029 7th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Pivot Apartments,-122.32853,,"1208 Pine St, Seattle, WA",0.0,0.0, Seattle
,Pivot Apartments,-122.32853,,"1208 Pine St, Seattle, WA",0.0,0.0, Seattle
,Pivot Apartments,-122.32853,,"1208 Pine St, Seattle, WA",0.0,0.0, Seattle
,Equinox Apartments,-122.32557,,"1524 Eastlake Ave E, Seattle, WA",0.0,0.0, Seattle
,Equinox Apartments,-122.32557,,"1524 Eastlake Ave E, Seattle, WA",0.0,0.0, Seattle
,Equinox Apartments,-122.32557,,"1524 Eastlake Ave E, Seattle, WA",0.0,0.0, Seattle
,Velo and Ray,-122.34222,,"3636 Stone Way N, Seattle, WA",0.0,0.0, Seattle
,Velo and Ray,-122.34222,,"3636 Stone Way N, Seattle, WA",0.0,0.0, Seattle
,Velo and Ray,-122.34222,,"3636 Stone Way N, Seattle, WA",0.0,0.0, Seattle
,STAZIONE25,-122.30058,,"2715 25th Ave S, Seattle, WA",0.0,0.0, Seattle
,STAZIONE25,-122.30058,,"2715 25th Ave S, Seattle, WA",0.0,0.0, Seattle
,STAZIONE25,-122.30058,,"2715 25th Ave S, Seattle, WA",0.0,0.0, Seattle
,,-122.35512,,"The Ashford, 12728 Greenwood Ave N #201, Seattle, WA 98133",0.0,0.0, 12728 Greenwood Ave N #201
,Canvas,-122.365456,,"600 Elliott Ave W, Seattle, WA",0.0,0.0, Seattle
,Cedar Park Senior Affordable Apartments,-122.29587,,"12740 30th Ave NE, Seattle, WA",0.0,0.0, Seattle
,The Galleria,-122.33251,,"10500 Meridian Ave N, Seattle, WA",0.0,0.0, Seattle
,The Galleria,-122.33251,,"10500 Meridian Ave N, Seattle, WA",0.0,0.0, Seattle
,The Galleria,-122.33251,,"10500 Meridian Ave N, Seattle, WA",0.0,0.0, Seattle
,The Morrow,-122.35628,,"8612 Palatine Ave N, Seattle, WA",0.0,0.0, Seattle
,The Morrow,-122.35628,,"8612 Palatine Ave N, Seattle, WA",0.0,0.0, Seattle
